Address,Longitude,Latitude,Landlord,Neighbourhood,Apartment Building,Apartment Building Property Type,Apartment Building Property Management,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By,Rooming House,Rooming House Status
65 Ellerslie Ave,-79.4157847,43.7710768,Park Willow Developments,Willowdale West,TRUE,Privately owned,M&R Property Management,1966,2017,107,6,2019-11-18,86,TRUE,2018-04-12,TRUE,2019,1.09%,FALSE,
17 Durnford Rd,-79.1497565,43.798558,Knight's Village Non-Profit,Rouge,TRUE,Social housing,Unknown,1992,2018,14,3,2021-04-13,80,FALSE,,FALSE,,,FALSE,
111 Generation Blvd,-79.1641594,43.8038643,Morguard Residential Inc,Rouge,TRUE,Privately owned,Morguard Residential,1975,2017,12,3,2020-11-04,75,FALSE,,FALSE,,,FALSE,
1475 Birchmount Rd,-79.288043,43.7567135,1475 Birchmount Ltd,Dorset Park,TRUE,Privately owned,Cogir Real Estate,1967,2017,28,5,2020-12-17,63,FALSE,,FALSE,,,FALSE,
1525 Birchmount Rd,-79.2890747,43.7597044,Poplar Plains Investments Limited,Dorset Park,TRUE,Privately owned,Unknown,1956,2017,52,4,2019-11-25,87,TRUE,2016-06-08,TRUE,2017,0.33%,FALSE,
5 Glamorgan Ave,-79.283556,43.768242,5 Glamorgan Co-Ownership Residences,Dorset Park,TRUE,Privately owned,Firm Capital Properties Inc,1974,2017,140,10,2020-12-18,69,FALSE,,FALSE,,,FALSE,
1 Antrim Cres,-79.2834763,43.7706698,Yeoman Investments Ltd,Dorset Park,TRUE,Privately owned,H&R Property Management,1970,2017,167,12,2019-12-11,86,FALSE,,FALSE,,,FALSE,
5 Biggin Crt,-79.3068012,43.7279995,Centurion Property Associates Inc,Victoria Village,TRUE,Privately owned,Unknown,1955,2017,65,4,2020-11-19,93,TRUE,"2020-02-04, 2018-03-14",TRUE,2019,0.3%,FALSE,
1 Biggin Crt,-79.3050095,43.7284826,Centurion Property Associates Inc,Victoria Village,TRUE,Privately owned,Unknown,1955,2017,48,4,2019-11-05,87,TRUE,"2020-02-04, 2018-03-14, 2016-01-07",TRUE,2019,0.3%,FALSE,
21 Eccleston Dr,-79.3169509,43.7270566,Eccleston & Sloane Ltd,Victoria Village,TRUE,Privately owned,Pinedale Properties Ltd,1960,2017,64,4,2020-11-27,92,FALSE,,FALSE,,,FALSE,
3 Eccleston Dr,-79.3147048,43.7269139,Eccleston & Sloane Ltd,Victoria Village,TRUE,Privately owned,Pinedale Properties Ltd,1960,2017,61,4,2020-11-27,92,TRUE,2018-05-11,FALSE,,,FALSE,
1698 Victoria Park Ave,-79.3068912,43.7337557,Irving P Sussman Limited,Victoria Village,TRUE,Privately owned,Ellsbirch Limited,1966,2017,52,5,2020-11-28,73,FALSE,,FALSE,,,FALSE,
265 Markland Dr,-79.5796402,43.6284768,Blackhill Developments Ltd,Markland Wood,TRUE,Privately owned,E. Manson Investments Limited,1965,2017,149,13,2019-10-29,82,FALSE,,FALSE,,,FALSE,
15 Eva Rd,-79.5620213,43.6384478,Imh 15 Eva Ltd,Etobicoke West Mall,TRUE,Privately owned,Metcap Living Management Inc.,1974,2017,195,18,2019-10-29,84,TRUE,"2017-03-02, 2016-09-07",TRUE,2017,2.7%,FALSE,
350 The West Mall,-79.5649969,43.6390458,Unknown,Etobicoke West Mall,TRUE,Privately owned,E. Manson Investments Limited,1962,2017,55,6,2020-11-24,83,FALSE,,FALSE,,,FALSE,
12 Bexhill Crt,-79.5204004,43.6624713,Hedie Investments Ltd,Edenbridge-Humber Valley,TRUE,Privately owned,Unknown,1952,2017,14,4,2020-12-02,79,TRUE,"2020-12-23, 2019-04-05, 2017-03-10",TRUE,2018,0.2%,FALSE,
143 Arlington Ave,-79.428916,43.681938,Akelius Canada Ltd,Humewood-Cedarvale,TRUE,Privately owned,Akelius Canada Ltd,1930,2019,28,4,2019-11-28,79,TRUE,2017-04-04,TRUE,2019,6.11%,FALSE,
21 Durnford Rd,-79.1500957,43.7994021,Knight's Village Non-Profit,Rouge,TRUE,Social housing,Unknown,1992,2018,21,4,2021-04-13,78,FALSE,,FALSE,,,FALSE,
1340 Danforth Rd,-79.245716,43.743475,Imh 1340-1350 -1360 Danforth Ltd,Eglinton East,TRUE,Privately owned,Metcap Living Management Inc,1962,2017,173,15,2021-04-12,86,TRUE,2018-03-15,TRUE,2017,1.53%,FALSE,
1350 Danforth Rd,-79.245971,43.7442765,Sun Life Financial,Eglinton East,TRUE,Privately owned,Metcap Living Management Inc.,1965,2017,225,15,2021-04-12,89,TRUE,2018-03-15,TRUE,2017,0.32%,FALSE,
50 Trudelle St,-79.2404098,43.7407322,San Marino Apartments Ltd,Eglinton East,TRUE,Privately owned,Unknown,1969,2017,131,7,2019-11-26,80,TRUE,2018-12-31,FALSE,,,FALSE,
3750 St Clair Ave E,-79.2423007,43.7212225,Ampex Property Management Limited,Cliffcrest,TRUE,Privately owned,Amaz Property Management,1965,2017,55,7,2020-12-16,79,FALSE,,FALSE,,,FALSE,
933-937 Wilson Ave,-79.4709254,43.7295288,592182 Ontario Limited,Downsview-Roding-CFB,TRUE,Privately owned,592182 Ontario Limited,1960,2017,36,3,2020-10-15,76,FALSE,,FALSE,,,FALSE,
921 Wilson Ave,-79.4683496,43.7298142,2291007 Ontario Limited,Downsview-Roding-CFB,TRUE,Privately owned,2291007 Ontario Limited,1960,2017,44,4,2019-11-19,74,FALSE,,FALSE,,,FALSE,
27 Paxtonia Blvd,-79.4805761,43.7289204,Paxtonia Apartments Ltd,Downsview-Roding-CFB,TRUE,Privately owned,Presidential Msh Corporation,1953,2017,50,4,2019-11-18,79,FALSE,,FALSE,,,FALSE,
1303 Wilson Ave,-79.4942044,43.7232259,Imh 1303-1307 Wilson Ltd,Downsview-Roding-CFB,TRUE,Privately owned,Metcap Living Management Inc.,1960,2017,85,8,2019-11-18,78,TRUE,"2019-04-05, 2016-01-07",FALSE,,,FALSE,
1233 Yonge St,-79.391821,43.6837756,Woodlawn Residences Corp,Rosedale-Moore Park,TRUE,Privately owned,Unknown,1980,2018,42,4,2020-12-15,75,FALSE,,FALSE,,,FALSE,
40 Pleasant Blvd,-79.3924328,43.6875963,Yonge Pleasant,Rosedale-Moore Park,TRUE,Privately owned,Yonge Pleasant Holdings Ltd.,1969,2017,163,32,2019-11-27,82,TRUE,2017-05-18,FALSE,,,FALSE,
49 Glen Elm Ave,-79.3925434,43.6914032,Peberg Corporation,Mount Pleasant East,TRUE,Privately owned,Unknown,1954,2017,71,4,2020-11-25,78,FALSE,,FALSE,,,FALSE,
27 Walmer Rd,-79.4056958,43.6681548,Unknown,Annex,TRUE,Privately owned,Unknown,1955,2017,38,4,2020-12-15,81,FALSE,,FALSE,,,FALSE,
334 Bloor St W,-79.404145,43.666834,334 Bloor St West Limited,Annex,TRUE,Privately owned,Unknown,1919,2017,24,3,2021-04-28,71,FALSE,,FALSE,,,FALSE,
30 Walmer Rd,-79.4065926,43.6678913,30 Walmer Road Inc,Annex,TRUE,Privately owned,Property Services Inc.,1960,2017,40,3,2020-12-15,79,FALSE,,FALSE,,,FALSE,
42 Barton Ave,-79.4141272,43.6679676,Tyndallwood Investments Limited,Annex,TRUE,Privately owned,Tyndallwood Investments Ltd,1929,2017,24,4,2020-12-15,91,TRUE,2019-11-15,FALSE,,,FALSE,
68-72 Spadina Rd,-79.405617,43.67035,Unknown,Annex,TRUE,Privately owned,Unknown,1963,2018,157,11,2021-04-28,76,FALSE,,FALSE,,,FALSE,
200 Balliol St,-79.390164,43.699213,Eplco Realty Group Ltd,Mount Pleasant West,TRUE,Privately owned,Greenwin Corp.,1968,2017,366,23,2019-12-02,91,TRUE,"2019-05-03, 2016-02-04",TRUE,2019,0.49%,FALSE,
151 St George St,-79.4001578,43.6694638,Hollyburn Properties Limited,Annex,TRUE,Privately owned,Unknown,1952,2017,48,7,2020-11-04,79,TRUE,2020-02-05,FALSE,,,FALSE,
59 Spadina Rd,-79.404593,43.669522,Potok Investments Limited,Annex,TRUE,Privately owned,Unknown,1957,2017,57,10,2019-11-26,74,FALSE,,FALSE,,,FALSE,
138 Pears Ave,-79.398072,43.675592,St Clare's Multifaith Housing Society,Annex,TRUE,Social housing,Unknown,1972,2017,96,7,2021-04-28,70,FALSE,,FALSE,,,FALSE,
2745 Yonge St,-79.4001035,43.718047,Toronto Community Housing,Lawrence Park South,TRUE,Toronto Community Housing,Unknown,1937,2017,41,4,2021-04-30,71,FALSE,,FALSE,,,FALSE,
2 Lambertlodge Ave,-79.422661,43.6739281,Toronto Community Housing,Wychwood,TRUE,Toronto Community Housing,Unknown,1983,2017,64,5,2020-10-29,78,FALSE,,FALSE,,,FALSE,
707 St Clair Ave W,-79.426615,43.6812249,St Matthews Bracondale House,Wychwood,TRUE,Social housing,St Matthews Bracondale House,1982,2017,130,7,2020-10-23,86,FALSE,,FALSE,,,FALSE,
747 St Clair Ave W,-79.428136,43.680967,Unknown,Wychwood,TRUE,Social housing,Aykler,1986,2017,97,8,2019-11-25,85,FALSE,,FALSE,,,FALSE,
342 Avenue Rd,-79.3995316,43.6809901,Starlight Investments,Casa Loma,TRUE,Privately owned,Unknown,1925,2017,24,4,2020-11-06,77,TRUE,2017-04-20,FALSE,,,FALSE,
190 Woolner Ave,-79.4906803,43.6726997,Toronto Community Housing,Rockcliffe-Smythe,TRUE,Toronto Community Housing,TCH,1968,2017,304,16,2020-11-16,68,FALSE,,FALSE,,,FALSE,
20 Graydon Hall Dr,-79.346025,43.763521,Devonshire Properties Inc,Parkwoods-Donalda,TRUE,Privately owned,Devonshire Properties,1968,2017,305,20,2020-11-27,84,TRUE,2020-09-18,FALSE,,,FALSE,
145 Neptune Dr,-79.4405657,43.7295628,Unknown,Englemount-Lawrence,TRUE,Toronto Community Housing,TCH,1974,2017,48,4,2019-11-21,71,FALSE,,FALSE,,,FALSE,
135 Eighth St,-79.5066455,43.6017387,Islington 8th Street Inc,New Toronto,TRUE,Privately owned,Capreit,1951,2017,47,4,2020-12-08,81,FALSE,,FALSE,,,FALSE,
36 Rosecliffe Ave,-79.44395,43.683934,Unknown,Oakwood Village,TRUE,Privately owned,Harvey Kalles,1945,2018,26,4,2021-04-30,71,FALSE,,FALSE,,,FALSE,
501 Adelaide St E,-79.3653437,43.6525689,Toronto Community Housing,Moss Park,TRUE,Toronto Community Housing,Greenwin,2009,2017,180,13,2021-04-23,71,FALSE,,FALSE,,,FALSE,
80 Cosburn Ave,-79.3509238,43.6892994,Hanard Investments Limited,Broadview North,TRUE,Privately owned,Greenwin Inc.,1970,2017,84,15,2019-12-09,85,TRUE,2019-11-15,FALSE,,,FALSE,
9 Elmsdale Rd,-79.3438339,43.6947055,Unknown,Old East York,TRUE,Privately owned,Unknown,1945,2017,38,4,2021-04-28,78,FALSE,,FALSE,,,FALSE,
5 Fisherville Rd,-79.44814,43.789366,Fisherville And Bathurst Limited,Westminster-Branson,TRUE,Privately owned,Pinedale Properties Ltd,1970,2017,202,17,2020-10-27,83,FALSE,,FALSE,,,FALSE,
12 Rockford Rd,-79.447693,43.786177,Hardit Corporation,Westminster-Branson,TRUE,Privately owned,Unknown,1964,2017,128,13,2019-11-07,83,TRUE,"2018-06-08, 2016-02-05",FALSE,,,FALSE,
1875 Steeles Ave W,-79.4677183,43.7871049,Microbjo Properties Inc,Bathurst Manor,TRUE,Privately owned,Unknown,1972,2017,120,4,2020-11-02,75,FALSE,,FALSE,,,FALSE,
11 Goldfinch Crt,-79.4498149,43.771958,Doel Development Corp Ltd,Westminster-Branson,TRUE,Privately owned,Unknown,1964,2017,174,15,2020-10-15,86,FALSE,,FALSE,,,FALSE,
4918 Bathurst St,-79.4432655,43.7728888,First Camp Holdings Limited,Westminster-Branson,TRUE,Privately owned,Sunrise Property Management,1968,2017,60,6,2020-10-29,78,TRUE,2021-01-21,FALSE,,,FALSE,
9 Kingsbridge Crt,-79.4441033,43.771579,Siteline (9 Kingsbridge) Inc,Westminster-Branson,TRUE,Privately owned,Cogir Management Corporation,1963,2017,74,7,2020-10-28,82,TRUE,"2018-04-11, 2016-08-04",FALSE,,,FALSE,
