Address,Longitude,Latitude,Neighbourhood,Apartment Building,Apartment Building Property Type,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,Property Management Or Landlord,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By
1065 Victoria Park Ave,-79.2948708,43.7070108,Clairlea-Birchmount,TRUE,PRIVATE,1964,2017,37,6,,2020-11-25,81,FALSE,,FALSE,,
650 Dawes Rd,-79.2947621,43.7075452,Clairlea-Birchmount,TRUE,PRIVATE,1950,2017,17,3,R.m.y. Silverstein,2020-11-20,74,FALSE,,FALSE,,
3423 St Clair Ave E,-79.2732943,43.7134814,Clairlea-Birchmount,TRUE,PRIVATE,1968,2017,30,4,Parkview Properties Inc,2019-11-19,78,FALSE,,FALSE,,
1738 Wilson Ave,-79.5141629,43.7200336,Downsview-Roding-CFB,TRUE,PRIVATE,1950,2017,10,3,Almega Property Management Inc,2018-12-20,67,FALSE,,FALSE,,
1744 Wilson Ave,-79.5150035,43.7198312,Downsview-Roding-CFB,TRUE,PRIVATE,1950,2017,10,3,Almega Property Management,2020-10-26,64,FALSE,,FALSE,,
1748 Wilson Ave,-79.5155823,43.7197146,Downsview-Roding-CFB,TRUE,PRIVATE,1973,2017,10,3,A.v. Management Ltd.,2020-10-26,76,FALSE,,FALSE,,
170 Chalkfarm Dr,-79.5134043,43.7242735,Downsview-Roding-CFB,TRUE,PRIVATE,1972,2017,262,23,Greenwin Corp.,2020-10-22,66,TRUE,2016-10-03,FALSE,,
2433 Finch Ave W,-79.548817,43.750471,Humbermede,TRUE,PRIVATE,1959,2017,117,6,Finch Main Gardens Ltd,2020-11-02,73,FALSE,,FALSE,,
750 York Mills Rd,-79.3608525,43.7537159,St.Andrew-Windfields,TRUE,PRIVATE,1970,2017,137,19,Minto Properties Inc,2019-10-28,82,FALSE,,FALSE,,
29 Upper Canada Dr,-79.4034225,43.7522271,St.Andrew-Windfields,TRUE,PRIVATE,1965,2017,54,4,Westdale Properties,2019-10-28,72,FALSE,,FALSE,,
755 York Mills Rd,-79.3607595,43.7523898,Banbury-Don Mills,TRUE,PRIVATE,1970,2017,138,18,M&R Property Management,2019-10-28,88,TRUE,2021-01-04,FALSE,,
2818 Bayview Ave,-79.388347,43.7657808,Willowdale East,TRUE,PRIVATE,1968,2017,20,3,Golden Ocean Investment Corp.,2019-01-11,63,FALSE,,FALSE,,
422 Willowdale Ave,-79.405934,43.7782197,Willowdale East,TRUE,SOCIAL HOUSING,1992,2017,16,4,Canadian Helen Keller Centre,2020-10-29,84,FALSE,,FALSE,,
